Bin_R1,Bin_R2,Bin_R3,Bin_R4,Bin_R5,Bin_R6,Bin_R7,Bin_R8,Bin_R9,Bin_R10,Bin_R11,Bin_R12,Bin_R13,Bin_R14,Bin_R15,Bin_R16,Bin_R17,Bin_R18,Bin_R19,Bin_R20,Bin_R21,Bin_R22,Bin_R23,Bin_R24,Bin_R25,Bin_R26,Bin_R27,Bin_R28,Bin_R29,Bin_R30,Bin_R31,Bin_R32,Bin_G1,Bin_G2,Bin_G3,Bin_G4,Bin_G5,Bin_G6,Bin_G7,Bin_G8,Bin_G9,Bin_G10,Bin_G11,Bin_G12,Bin_G13,Bin_G14,Bin_G15,Bin_G16,Bin_G17,Bin_G18,Bin_G19,Bin_G20,Bin_G21,Bin_G22,Bin_G23,Bin_G24,Bin_G25,Bin_G26,Bin_G27,Bin_G28,Bin_G29,Bin_G30,Bin_G31,Bin_G32,Bin_B1,Bin_B2,Bin_B3,Bin_B4,Bin_B5,Bin_B6,Bin_B7,Bin_B8,Bin_B9,Bin_B10,Bin_B11,Bin_B12,Bin_B13,Bin_B14,Bin_B15,Bin_B16,Bin_B17,Bin_B18,Bin_B19,Bin_B20,Bin_B21,Bin_B22,Bin_B23,Bin_B24,Bin_B25,Bin_B26,Bin_B27,Bin_B28,Bin_B29,Bin_B30,Bin_B31,Bin_B32,Label
49298.0,10096.0,8656.0,22280.0,86428.0,91728.0,60760.0,35976.0,19839.0,14563.0,13366.0,14178.0,12001.0,10172.0,9216.0,8660.0,7782.0,7311.0,7403.0,8901.0,9077.0,7432.0,8166.0,8341.0,6779.0,4864.0,4960.0,5710.0,7653.0,12400.0,37129.0,310475.0,56107.0,20414.0,68492.0,84157.0,84768.0,38938.0,21828.0,15030.0,13127.0,12460.0,12313.0,11366.0,10126.0,9148.0,9014.0,10277.0,10409.0,14694.0,19509.0,102902.0,42943.0,17081.0,14649.0,15100.0,20702.0,32142.0,29759.0,24106.0,19527.0,22418.0,34754.0,23340.0,144066.0,32131.0,16842.0,25040.0,38047.0,10979.0,20747.0,26814.0,28430.0,28804.0,18824.0,15967.0,18637.0,19303.0,27162.0,19701.0,12383.0,10350.0,13883.0,19347.0,23581.0,28187.0,36131.0,58682.0,100784.0,57519.0,21173.0,8114.0,5751.0,6053.0,8259.0,19909.0,ultra red
33566.0,21618.0,21902.0,36836.0,69694.0,107735.0,78372.0,44721.0,29403.0,23281.0,21309.0,20231.0,20148.0,20756.0,21059.0,21649.0,22133.0,20646.0,20089.0,17407.0,17501.0,15014.0,13479.0,11864.0,11747.0,12931.0,11666.0,11128.0,10843.0,10686.0,11650.0,270436.0,48201.0,34190.0,54347.0,97521.0,96701.0,56745.0,34641.0,25513.0,21768.0,20480.0,19607.0,20204.0,20379.0,20764.0,21680.0,21006.0,19633.0,19334.0,16380.0,15949.0,14958.0,13806.0,11875.0,11092.0,11307.0,12711.0,10887.0,10378.0,10017.0,9390.0,10225.0,269811.0,23303.0,13565.0,8794.0,5746.0,4372.0,3707.0,3210.0,2883.0,2711.0,2750.0,3052.0,3741.0,4773.0,5851.0,7560.0,10344.0,14150.0,20097.0,23967.0,33628.0,46171.0,66876.0,94352.0,94088.0,62528.0,42046.0,31942.0,27741.0,26683.0,27950.0,32326.0,330593.0,ultra red
44.0,624.0,3544.0,14500.0,31287.0,34018.0,10776.0,4636.0,4336.0,4084.0,2743.0,1806.0,1122.0,1293.0,1029.0,838.0,944.0,744.0,647.0,530.0,535.0,609.0,779.0,470.0,427.0,537.0,715.0,356.0,319.0,548.0,1524.0,233636.0,9109.0,40375.0,26352.0,10126.0,5684.0,4275.0,3586.0,3463.0,3864.0,2463.0,1883.0,1558.0,1169.0,1026.0,1043.0,975.0,951.0,728.0,593.0,488.0,474.0,630.0,684.0,441.0,407.0,527.0,622.0,401.0,314.0,555.0,1091.0,234143.0,0.0,4.0,13.0,101.0,397.0,1061.0,2011.0,3383.0,4134.0,2992.0,2514.0,2473.0,2580.0,2351.0,2466.0,2839.0,2949.0,3287.0,3616.0,4183.0,5003.0,5788.0,7078.0,7720.0,8136.0,7976.0,7961.0,8697.0,9214.0,7758.0,4746.0,236569.0,ultra red
512.0,1664.0,9922.0,15610.0,9693.0,5587.0,3693.0,2693.0,2356.0,2173.0,2015.0,1882.0,1589.0,1537.0,1394.0,1336.0,1146.0,1128.0,1044.0,1009.0,1036.0,990.0,859.0,633.0,582.0,751.0,1022.0,1416.0,1010.0,990.0,2076.0,151052.0,920.0,3844.0,16615.0,11018.0,7632.0,4570.0,3175.0,2395.0,2128.0,2072.0,1986.0,1887.0,1746.0,1540.0,1369.0,1311.0,1153.0,1131.0,1014.0,884.0,926.0,883.0,889.0,708.0,779.0,1050.0,1356.0,1105.0,1100.0,1031.0,1410.0,150773.0,4.0,17.0,73.0,174.0,378.0,599.0,762.0,766.0,810.0,724.0,619.0,573.0,660.0,672.0,825.0,1167.0,1609.0,2358.0,4167.0,9224.0,13555.0,9944.0,8035.0,3830.0,2775.0,2435.0,2732.0,2558.0,1779.0,1555.0,2176.0,152845.0,ultra red
1061.0,1006.0,827.0,656.0,1763.0,9773.0,6955.0,3668.0,2423.0,2011.0,2282.0,2680.0,2772.0,2294.0,1807.0,1591.0,1500.0,1337.0,1198.0,1044.0,956.0,908.0,990.0,1107.0,1160.0,1174.0,1169.0,1068.0,945.0,992.0,1464.0,143723.0,7037.0,7642.0,4857.0,3757.0,3017.0,2534.0,2516.0,2502.0,2178.0,1662.0,1435.0,1374.0,1431.0,1386.0,1325.0,1220.0,1156.0,943.0,899.0,852.0,832.0,921.0,952.0,979.0,1094.0,1028.0,1066.0,952.0,896.0,953.0,1428.0,143480.0,6.0,17.0,58.0,126.0,256.0,408.0,492.0,522.0,581.0,512.0,517.0,493.0,470.0,460.0,447.0,450.0,489.0,574.0,628.0,855.0,1174.0,1532.0,2032.0,2750.0,3359.0,3892.0,4201.0,4615.0,5616.0,7205.0,9021.0,150546.0,ultra red
49108.0,47737.0,139305.0,70162.0,104886.0,149685.0,180097.0,111942.0,105524.0,47432.0,33042.0,26700.0,23110.0,23310.0,23333.0,19302.0,17904.0,16087.0,16648.0,15787.0,15255.0,13050.0,14536.0,17577.0,16899.0,14535.0,15315.0,16267.0,10748.0,5726.0,7740.0,881251.0,47698.0,140964.0,72500.0,45356.0,31717.0,195124.0,242889.0,149439.0,55332.0,33900.0,28586.0,25105.0,29058.0,26338.0,17546.0,15330.0,14944.0,18426.0,18390.0,17442.0,21537.0,24663.0,17619.0,16760.0,8693.0,8128.0,9529.0,13523.0,9875.0,5344.0,6282.0,881963.0,6523.0,12544.0,14800.0,20511.0,16762.0,9958.0,7852.0,7760.0,9533.0,14408.0,15548.0,12960.0,12016.0,13169.0,15191.0,18404.0,21357.0,23476.0,27616.0,33430.0,40325.0,74759.0,68005.0,73349.0,101513.0,59647.0,43694.0,88886.0,418880.0,47096.0,20970.0,899058.0,ultra red
67811.0,2320.0,1820.0,1945.0,2512.0,17750.0,32876.0,11923.0,14969.0,5853.0,5766.0,5622.0,5693.0,5315.0,5024.0,4528.0,3959.0,3643.0,3121.0,2732.0,2284.0,2092.0,1871.0,1921.0,2216.0,1839.0,2097.0,2319.0,2414.0,1453.0,987.0,325.0,67785.0,2434.0,2022.0,2786.0,54071.0,9136.0,4667.0,4407.0,4400.0,4504.0,4552.0,4924.0,5038.0,5184.0,5376.0,5136.0,4893.0,4620.0,3954.0,3465.0,3028.0,2581.0,2598.0,2283.0,2385.0,1844.0,2192.0,2208.0,2295.0,1230.0,744.0,258.0,67591.0,1965.0,1488.0,1253.0,1176.0,1163.0,1074.0,1080.0,1109.0,1135.0,1108.0,1077.0,1082.0,1315.0,1341.0,1530.0,1757.0,2253.0,2440.0,2797.0,3447.0,4578.0,7627.0,13038.0,20767.0,63267.0,7737.0,4505.0,3320.0,1650.0,973.0,357.0,ultra red
2660.0,3096.0,4369.0,11072.0,11289.0,10315.0,11993.0,16668.0,19604.0,7669.0,6323.0,5825.0,5850.0,6340.0,7740.0,10007.0,13254.0,13984.0,11958.0,8348.0,4336.0,3382.0,3192.0,2936.0,2918.0,3646.0,7640.0,8911.0,2820.0,2011.0,2592.0,391352.0,3632.0,2939.0,4104.0,10983.0,14305.0,10857.0,12903.0,23316.0,12004.0,6131.0,5474.0,5579.0,5784.0,6569.0,8104.0,10208.0,13144.0,15234.0,11209.0,6992.0,3721.0,3211.0,2943.0,2900.0,3172.0,5066.0,10749.0,4442.0,2508.0,2085.0,2299.0,391533.0,2350.0,2224.0,2525.0,2291.0,1858.0,1610.0,1562.0,1590.0,1422.0,1419.0,1743.0,2114.0,2322.0,2901.0,3605.0,4738.0,5141.0,4820.0,5056.0,5571.0,5904.0,6044.0,6552.0,9327.0,21048.0,33202.0,30304.0,24176.0,17775.0,10083.0,5328.0,397495.0,ultra red
0.0,430.0,669.0,5853.0,6471.0,7268.0,7783.0,6785.0,11315.0,251952.0,16526.0,4729.0,3397.0,2830.0,1563.0,1960.0,1701.0,1565.0,1255.0,1700.0,1342.0,1366.0,1554.0,2023.0,1916.0,1787.0,1714.0,1533.0,2472.0,1184.0,1514.0,5843.0,30438.0,5357.0,8287.0,12319.0,9368.0,7852.0,4003.0,3895.0,2571.0,2944.0,2164.0,1468.0,1446.0,2030.0,235814.0,1477.0,1079.0,1891.0,1317.0,597.0,1756.0,1073.0,1837.0,1331.0,1944.0,1779.0,1417.0,1533.0,1633.0,2023.0,3440.0,3917.0,0.0,356.0,0.0,323.0,523.0,433.0,909.0,1803.0,235031.0,744.0,1222.0,514.0,1037.0,859.0,173.0,1115.0,504.0,741.0,689.0,1301.0,4601.0,6989.0,9340.0,9293.0,13657.0,11538.0,36182.0,6415.0,3217.0,2934.0,5670.0,1887.0,ultra red
543.0,450.0,403.0,493.0,1309.0,4513.0,2947.0,1735.0,1409.0,1263.0,1247.0,1130.0,1127.0,971.0,819.0,646.0,661.0,654.0,653.0,645.0,611.0,657.0,599.0,632.0,709.0,619.0,587.0,625.0,627.0,790.0,1329.0,58597.0,3071.0,3285.0,2510.0,1961.0,1477.0,1463.0,1301.0,1215.0,1153.0,838.0,649.0,612.0,575.0,593.0,566.0,645.0,626.0,600.0,621.0,566.0,565.0,585.0,601.0,608.0,650.0,572.0,548.0,520.0,595.0,739.0,1219.0,58471.0,15.0,13.0,30.0,59.0,102.0,148.0,204.0,230.0,237.0,235.0,231.0,240.0,240.0,207.0,277.0,303.0,312.0,416.0,470.0,545.0,731.0,898.0,1051.0,1312.0,1599.0,1740.0,2152.0,2527.0,2827.0,3465.0,4385.0,62799.0,ultra red
